Sweet and sour pork stir-fry: Add the pork and stir to coat.	Sweet and sour pork stir-fry: Add the chicken breast and stir to coat.	Sweet and sour pork stir-fry: Add the brown rice syrup and stir to coat.
Sweet and sour chicken: Cook for 4–6 minutes until the sauce is thickened and glossy and the chicken is tender and cooked throughout turning the chicken and vegetables a few times.	Sweet and sour chicken: Cook for 4–6 minutes until the sauce is thickened and glossy and the quorn chicken is tender and cooked throughout turning the quorn chicken and vegetables a few times.	Sweet and sour chicken: Cook for 4–6 minutes until the sauce is thickened and glossy and the molokhia is tender and cooked throughout turning the molokhia and vegetables a few times.
Basic omelette: Season the beaten eggs well with salt and pepper.	Basic omelette: Season the beaten chickpea (gram) flour well with salt and pepper.	Basic omelette: Season the beaten oat well with salt and pepper.
The best spaghetti bolognese: Increase the heat to medium-high add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g lentils and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g gravy granules and cook stirring for 3-4 mins until the meat is browned all over.
Easy chicken traybake: Arrange the chicken and potatoes on the tray tossing to coat in a little oil.	Easy chicken traybake: Arrange the chicken breast and potatoes on the tray tossing to coat in a little oil.	Easy chicken traybake: Arrange the greek yogurt and potatoes on the tray tossing to coat in a little oil.
Panang curry: Add chicken stirring to coat.	Panang curry: Add turkey breast stirring to coat.	Panang curry: Add salmon stirring to coat.
Bubble & squeak: Melt 1 tbsp duck fat goose fat or butter in a non-stick pan allow it to get nice and hot then add 4 chopped streaky bacon rashers.	Bubble & squeak: Melt 1 tbsp duck fat goose fat or butter in a non-stick pan allow it to get nice and hot then add 4 chopped vegan bacon like this or vivera bacon bits.  rashers.	Bubble & squeak: Melt 1 tbsp duck fat goose fat or butter in a non-stick pan allow it to get nice and hot then add 4 chopped soya flour rashers.
Super Simple Macaroni Cheese: Very gradually add the milk stirring constantly.	Super Simple Macaroni Cheese: Very gradually add the vegan milk alternative  stirring constantly.	Super Simple Macaroni Cheese: Very gradually add the sage stirring constantly.
The Best Vegan Burgers: Add in the remaining black beans and pulse until combined still leaving it quite chunky so you can partially see the black beans	The Best Vegan Burgers: Add in the remaining red kidney beans and pulse until combined still leaving it quite chunky so you can partially see the red kidney beans	The Best Vegan Burgers: Add in the remaining sapodilla and pulse until combined still leaving it quite chunky so you can partially see the sapodilla
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g quorn mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g pork.
Sausage and mash: Add the sausages back to the tray and warm through for 1–2 minutes.	Sausage and mash: Add the vegan sausages back to the tray and warm through for 1–2 minutes.	Sausage and mash: Add the pollock back to the tray and warm through for 1–2 minutes.
Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly whisking to incorporate.	Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly whisking to incorporate.	Creamy Garlic Herb Mushroom Spaghetti: Add the cheddar slowly whisking to incorporate.
Jamaican Curry Goat: Season goat with salt and pepper.	Jamaican Curry Goat: Season mixed beans with salt and pepper.	Jamaican Curry Goat: Season hoisin with salt and pepper.
Keralan fish curry: Cut the fish into chunks.	Keralan fish curry: Cut the seafood like prawns  into chunks.	Keralan fish curry: Cut the harissa into chunks.
Kedgeree: Meanwhile put 300g skin-on undyed smoked haddock fillet and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on kedgeree for me is strongly linked to having some fish and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on palm sugar and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.	Easy chicken fajitas: Heat a griddle pan until smoking hot and add the mushrooms  and marinade to the pan.	Easy chicken fajitas: Heat a griddle pan until smoking hot and add the betel leaves and marinade to the pan.
Three Mushroom Braise: oyster sauce	Three Mushroom Braise: mushroom sauce	Three Mushroom Braise: cinnamon
Vegan Potato Leek Soup: Then add in the coconut cream.	Vegan Potato Leek Soup: Then add in the coconut cream.	Vegan Potato Leek Soup: Then add in the coconut cream.
Mediterranean Mezze Platter: Put the olives yogurt hummus and muhammara in small dishes and add to the platter.	Mediterranean Mezze Platter: Put the olives alpro hummus and muhammara in small dishes and add to the platter.	Mediterranean Mezze Platter: Put the olives soya flour hummus and muhammara in small dishes and add to the platter.
Dan Dan Mian: Add the pork mixture and stir fry until pork is fully cooked no more moisture on the bottom and slightly have brown edges about  3 to 4 minutes.	Dan Dan Mian: Add the minced chicken mixture and stir fry until minced chicken is fully cooked no more moisture on the bottom and slightly have brown edges about  3 to 4 minutes.	Dan Dan Mian: Add the dried coriander mixture and stir fry until dried coriander is fully cooked no more moisture on the bottom and slightly have brown edges about  3 to 4 minutes.
Oven Baked Chicken and Rice: Place chicken on rice.	Oven Baked Chicken and Rice: Place chicken on brown rice .	Oven Baked Chicken and Rice: Place chicken on pinto bean.
Creamy chicken stew: Add the chicken to the leeks leaving behind any fat in the pan.	Creamy chicken stew: Add the pork chops to the leeks leaving behind any fat in the pan.	Creamy chicken stew: Add the redcurrant jelly to the leeks leaving behind any fat in the pan.
Homemade falafels: Add the egg then squish the mixture together with your hands.	Homemade falafels: Add the bread crumbs then squish the mixture together with your hands.	Homemade falafels: Add the gravy granules then squish the mixture together with your hands.
Bang Bang Chicken Pasta: Add the sriracha sauce to the chicken and vegetables stir to combine.	Bang Bang Chicken Pasta: Add the sriracha sauce to the quorn and vegetables stir to combine.	Bang Bang Chicken Pasta: Add the sriracha sauce to the coconut milk and vegetables stir to combine.
Korean Fried Chicken: Place the chicken in a bowl.	Korean Fried Chicken: Place the quorn in a bowl.	Korean Fried Chicken: Place the drinking chocolate in a bowl.
Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml milk to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml a suitable milk alternative for a vegan recipe to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml runner bean to the pan and bring to the boil.
Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour dried chickpeas on top then sprinkle the curry powder evenly over the beans.	Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour dry green lentils  on top then sprinkle the curry powder evenly over the beans.	Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour babaco on top then sprinkle the curry powder evenly over the beans.
palak paneer  how to make palak paneer | paneer s: rinse the spinach very wall in water.boil water in a pan with some salt.switch off the fire and add the spinach leaves in the hot water.close with a lid and let the spinach leaves sit in the water for 2-3 mins.drain and immediately add the leaves in a pan or bowl containing ice cold water.this helps in preserving the green color of the spinach.drain and then puree the spinach in a blender or hand blender with ginger garlic and green chilies.make a smooth puree.heat oil or ghee in a pan or kadai.fry the cumin first.then add the bay leaves and onions.fry till the onions become browned.now add the garlic and tomatoes.fry till the tomatoes become soft.add the turmeric powder red chili powder and asafoetida.stir and fry for some seconds.add the spinach puree.add some water if required.simmer for 6-7 minutes or more till the spinach is cooked.lastly add salt and garam masala.stir and add the paneer cubes.cook the gravy till the paneer cubes become soft and succulent.add cream and stir.simmer for 30 seconds or a minute.at this stage you can also add some crushed kasuri methi leaves.stir and serve the palak paneer hot with some rotis naan or jeera rice.you can top the palak paneer with some butter or cream also while serving.	palak paneer  how to make palak paneer | paneer s: rinse the spinach very wall in water.boil water in a pan with some salt.switch off the fire and add the spinach leaves in the hot water.close with a lid and let the spinach leaves sit in the water for 2-3 mins.drain and immediately add the leaves in a pan or bowl containing ice cold water.this helps in preserving the green color of the spinach.drain and then puree the spinach in a blender or hand blender with ginger garlic and green chilies.make a smooth puree.heat oil or ghee in a pan or kadai.fry the cumin first.then add the bay leaves and onions.fry till the onions become browned.now add the garlic and tomatoes.fry till the tomatoes become soft.add the turmeric powder red chili powder and asafoetida.stir and fry for some seconds.add the spinach puree.add some water if required.simmer for 6-7 minutes or more till the spinach is cooked.lastly add salt and garam masala.stir and add the halloumi cubes.cook the gravy till the halloumi cubes become soft and succulent.add cream and stir.simmer for 30 seconds or a minute.at this stage you can also add some crushed kasuri methi leaves.stir and serve the palak halloumi hot with some rotis naan or jeera rice.you can top the palak halloumi with some butter or cream also while serving.	palak paneer  how to make palak paneer | paneer s: rinse the spinach very wall in water.boil water in a pan with some salt.switch off the fire and add the spinach leaves in the hot water.close with a lid and let the spinach leaves sit in the water for 2-3 mins.drain and immediately add the leaves in a pan or bowl containing ice cold water.this helps in preserving the green color of the spinach.drain and then puree the spinach in a blender or hand blender with ginger garlic and green chilies.make a smooth puree.heat oil or ghee in a pan or kadai.fry the cumin first.then add the bay leaves and onions.fry till the onions become browned.now add the garlic and tomatoes.fry till the tomatoes become soft.add the turmeric powder red chili powder and asafoetida.stir and fry for some seconds.add the spinach puree.add some water if required.simmer for 6-7 minutes or more till the spinach is cooked.lastly add salt and garam masala.stir and add the quark cubes.cook the gravy till the quark cubes become soft and succulent.add cream and stir.simmer for 30 seconds or a minute.at this stage you can also add some crushed kasuri methi leaves.stir and serve the palak quark hot with some rotis naan or jeera rice.you can top the palak quark with some butter or cream also while serving.
Spaghetti Bolognese: Add the minced beef breaking it apart with the back of a spoon then cook for 2 to 3 minutes or until starting to brown then pour in the wine.	Spaghetti Bolognese: Add the mince qorn  breaking it apart with the back of a spoon then cook for 2 to 3 minutes or until starting to brown then pour in the wine.	Spaghetti Bolognese: Add the cinnamon breaking it apart with the back of a spoon then cook for 2 to 3 minutes or until starting to brown then pour in the wine.
Easy sausage casserole: Add 6 chorizo sausages and 6 pork sausages and fry for 5 minutes.	Easy sausage casserole: Add 6 chorizo vegetarian sausage and 6 vegetarian sausage and fry for 5 minutes.	Easy sausage casserole: Add 6 chorizo curry sauce and 6 curry sauce and fry for 5 minutes.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g diced mushrooms and aubergines.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g turmeric.
Vegetarian Thai green curry: Tip in the squash and pepper then stir through the coconut milk along with 200ml water.	Vegetarian Thai green curry: Tip in the squash and pepper then stir through the evaporated milk along with 200ml water.	Vegetarian Thai green curry: Tip in the squash and pepper then stir through the dressing along with 200ml water.
Portuguese duck rice: Drain the stock from the duck reserving it to cook the rice.	Portuguese duck rice: Drain the stock from the small whole chicken  reserving it to cook the rice.	Portuguese duck rice: Drain the stock from the brie reserving it to cook the rice.
Sausage and Mash with Onion Gravy and Peas: Add the sausages to the pan and fry for 10 minutes turning occasionally so they don't stick.	Sausage and Mash with Onion Gravy and Peas: Add the sausages to the pan and fry for 10 minutes turning occasionally so they don't stick.	Sausage and Mash with Onion Gravy and Peas: Add the sausages to the pan and fry for 10 minutes turning occasionally so they don't stick.
The best spaghetti bolognese: Increase the heat to medium-high add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g quorn mincr and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g tahini and cook stirring for 3-4 mins until the meat is browned all over.
Burnt aubergine veggie chilli: Add the aubergine both types of lentils the kidney beans with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.	Burnt aubergine veggie chilli: Add the aubergine both types of lentils the kidney beans with the liquid from the can soy sauce tomatoes chocolate powder  chilli powder oregano and the spices.	Burnt aubergine veggie chilli: Add the aubergine both types of lentils the kidney beans with the liquid from the can soy sauce tomatoes cherry tomato chilli powder oregano and the spices.
Wild garlic ravioli: Finely chop then add to a bowl with the cream cheese crème fraîche and lemon zest.	Wild garlic ravioli: Finely chop then add to a bowl with the mascarpone crème fraîche and lemon zest.	Wild garlic ravioli: Finely chop then add to a bowl with the pollock crème fraîche and lemon zest.
Chicken & bacon pasta: Add the cream mascarpone parmesan and stock cube.	Chicken & bacon pasta: Add the cream creme fraiche  parmesan and stock cube.	Chicken & bacon pasta: Add the cream gin parmesan and stock cube.
Greek Salad: On a large platter arrange the cucumber green pepper cherry tomatoes feta cheese red onions and olives.	Greek Salad: On a large platter arrange the cucumber green pepper cherry tomatoes goats cheese  red onions and olives.	Greek Salad: On a large platter arrange the cucumber green pepper cherry tomatoes coriander red onions and olives.
Beef stew: Trim and roughly chop the celery then peel trim and chop the carrots into 2cm rounds.	Beef stew: Trim and roughly chop the celery then peel trim and chop the quorn or other meat substitute into 2cm rounds.	Beef stew: Trim and roughly chop the celery then peel trim and chop the polenta into 2cm rounds.
Sausage kale & gnocchi one-pot: Squeeze the sausages straight from their skins into the pan then use the back of a wooden spoon to break the meat up.	Sausage kale & gnocchi one-pot: Squeeze the quorn sausages straight from their skins into the pan then use the back of a wooden spoon to break the meat up.	Sausage kale & gnocchi one-pot: Squeeze the lamb straight from their skins into the pan then use the back of a wooden spoon to break the meat up.
Meatball & tomato soup: Season to taste then add the meatballs and spinach.	Meatball & tomato soup: Season to taste then add the iâ€™d swap the meat out for a variety of beans. or iâ€™d make arancini to replace the meatballs  and spinach.	Meatball & tomato soup: Season to taste then add the ale and spinach.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g quorn mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g golden syrup.
Pinto Bean Sweet Potato Enchiladas: Top the enchiladas with the remaining sauce and cheese.	Pinto Bean Sweet Potato Enchiladas: Top the enchiladas with the remaining sauce and vegan cheese.	Pinto Bean Sweet Potato Enchiladas: Top the enchiladas with the remaining sauce and porridge oat.
Easy Pork Stroganoff: Tip the pork and all the juices onto a plate.	Easy Pork Stroganoff: Tip the chicken and all the juices onto a plate.	Easy Pork Stroganoff: Tip the kimchi and all the juices onto a plate.
Pork and Kimchi Potstickers: In a large bowl combine ground pork kimchi green onions garlic ginger soy sauce rice wine vinegar and sesame oil.	Pork and Kimchi Potstickers: In a large bowl combine veggie mince kimchi green onions garlic ginger soy sauce rice wine vinegar and sesame oil.	Pork and Kimchi Potstickers: In a large bowl combine honey kimchi green onions garlic ginger soy sauce rice wine vinegar and sesame oil.
Chicken & bacon pasta: Add the cream mascarpone parmesan and stock cube.	Chicken & bacon pasta: Add the cream creme fraiche  parmesan and stock cube.	Chicken & bacon pasta: Add the cream cod roe parmesan and stock cube.
Roasted garlic spinach white pizza: Combine the roasted garlic with the ricotta cheese and set aside.	Roasted garlic spinach white pizza: Combine the roasted garlic with the mozzarella  and set aside.	Roasted garlic spinach white pizza: Combine the roasted garlic with the flour tortilla and set aside.
Jamie's classic family lasagne: Add all the minced meat using a wooden spoon to break it up as you go.	Jamie's classic family lasagne: Add all the pork mince or quorn mince meat using a wooden spoon to break it up as you go.	Jamie's classic family lasagne: Add all the mandarin meat using a wooden spoon to break it up as you go.
Soy and Honey Chicken with Green Beans and Rice: a) Once the chicken is browned add a drizzle of oil if you need to add the shallot cook with the chicken until softened 2-3 mins.b) Stir in the garlic and tomato puree cook for 1 minute.c)	Soy and Honey Chicken with Green Beans and Rice: a) Once the chicken is browned add a drizzle of oil if you need to add the shallot cook with the chicken until softened 2-3 mins.b) Stir in the garlic and tomato puree cook for 1 minute.c)	Soy and Honey Chicken with Green Beans and Rice: a) Once the chicken is browned add a drizzle of oil if you need to add the shallot cook with the chicken until softened 2-3 mins.b) Stir in the garlic and tomato puree cook for 1 minute.c)
Makhani dhal: Add the bay leaves and beans then simmer for 20 mins more until thickened.	Makhani dhal: Add the bay leaves and chick peas then simmer for 20 mins more until thickened.	Makhani dhal: Add the bay leaves and ginger then simmer for 20 mins more until thickened.
Courgette fritters: Combine the grated courgette flour egg and parmesan in a large bowl.	Courgette fritters: Combine the grated courgette flour egg and cheddar cheese  in a large bowl.	Courgette fritters: Combine the grated courgette flour egg and plant-based mince in a large bowl.
Best Lasagna: Add beef and pork (if using) and cook while breaking it up with the end of your spoon until browned.	Best Lasagna: Add  pecorino and pork (if using) and cook while breaking it up with the end of your spoon until browned.	Best Lasagna: Add hoisin and pork (if using) and cook while breaking it up with the end of your spoon until browned.
Butternut squash & sage risotto: In a separate pan melt half the butter over a medium heat.	Butternut squash & sage risotto: In a separate pan melt half the pumpkin over a medium heat.	Butternut squash & sage risotto: In a separate pan melt half the blue cheese over a medium heat.
Roasted garlic spinach white pizza: Combine the roasted garlic with the ricotta cheese and set aside.	Roasted garlic spinach white pizza: Combine the roasted garlic with the mascarpone and set aside.	Roasted garlic spinach white pizza: Combine the roasted garlic with the potato and set aside.
Vegetable and Chicken Stir-Fry: Return the chicken to the wok along with any accumulated juices.	Vegetable and Chicken Stir-Fry: Return the quorn mince  to the wok along with any accumulated juices.	Vegetable and Chicken Stir-Fry: Return the mange-tout to the wok along with any accumulated juices.
Simple stir-fry: Stir in the prawns salmon or chicken and heat through.	Simple stir-fry: Stir in the cooked flaked sardines salmon or chicken and heat through.	Simple stir-fry: Stir in the wensleydale salmon or chicken and heat through.
Quorn Swedish Style Balls in Blue Cheese Sauce: Add the vegetable stock and milk and continue stirring over the heat until the sauce has thickened	Quorn Swedish Style Balls in Blue Cheese Sauce: Add the vegetable stock and oat milk and continue stirring over the heat until the sauce has thickened	Quorn Swedish Style Balls in Blue Cheese Sauce: Add the vegetable stock and club soda and continue stirring over the heat until the sauce has thickened
Lasagna: Return the browned ground beef to the pan.	Lasagna: Return the browned quorn mince to the pan.	Lasagna: Return the browned lard to the pan.
Mediterranean Mezze Platter: Arrange the cucumber tomatoes carrots grapes and feta on the platter.	Mediterranean Mezze Platter: Arrange the cucumber tomatoes carrots grapes and haloumi cheese on the platter.	Mediterranean Mezze Platter: Arrange the cucumber tomatoes carrots grapes and chili garlic sauce on the platter.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g veggie mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g almond.
Mediterranean Mezze Platter: Arrange the cucumber tomatoes carrots grapes and feta on the platter.	Mediterranean Mezze Platter: Arrange the cucumber tomatoes carrots grapes and haloumi cheese on the platter.	Mediterranean Mezze Platter: Arrange the cucumber tomatoes carrots grapes and butter on the platter.
Ginger Tempeh Vegetable Stir Fry: Add onions carrots and tempeh and stir fry for 5 minutes or until the carrots turn bright orange.	Ginger Tempeh Vegetable Stir Fry: Add onions carrots and tofu and stir fry for 5 minutes or until the carrots turn bright orange.	Ginger Tempeh Vegetable Stir Fry: Add onions carrots and walnut and stir fry for 5 minutes or until the carrots turn bright orange.
Sweet potato and chickpea curry: Add the chickpeas tomatoes and sweet potato to the pan.	Sweet potato and chickpea curry: Add the pine nuts tomatoes and sweet potato to the pan.	Sweet potato and chickpea curry: Add the chili oil tomatoes and sweet potato to the pan.
Vegetarian tacos: Fill the tortillas with the beans salsa guacamole egg cheese and radishes.	Vegetarian tacos: Fill the tortillas with the beans salsa guacamole egg dairy free grated cheese such as violife and radishes.	Vegetarian tacos: Fill the tortillas with the beans salsa guacamole egg baking powder and radishes.
Seared Scallops: In large pan over medium-high heat melt butter with oil.	Seared Scallops: In halloumi pan over medium-high heat melt butter with oil.	Seared Scallops: In cornmeal pan over medium-high heat melt butter with oil.
Pork Tenderloin with Honey Garlic Sauce: Add pork and sear until golden all over.	Pork Tenderloin with Honey Garlic Sauce: Add quorn  and sear until golden all over.	Pork Tenderloin with Honey Garlic Sauce: Add milk and sear until golden all over.
Mushroom Leek Stroganoff: Cook the pasta according to the package instructions.	Mushroom Leek Stroganoff: Cook the spaghetti squash according to the package instructions.	Mushroom Leek Stroganoff: Cook the pepper according to the package instructions.
Overnight Oats Smoothie Hack by Tasty: In a mason jar or sealable container add the oats almond milk yogurt almond butter honey chia seeds cinnamon and peaches.	Overnight Oats Smoothie Hack by Tasty: In a mason jar or sealable container add the oats almond milk plain yoghurt almond butter honey chia seeds cinnamon and peaches.	Overnight Oats Smoothie Hack by Tasty: In a mason jar or sealable container add the oats almond milk banana almond butter honey chia seeds cinnamon and peaches.
Dhaba Style Saag Paneer with Punjabi Tadka: Add the paneer cubes / American cottage cheese / tofu cubes.&nbsp; &nbsp;	Dhaba Style Saag Paneer with Punjabi Tadka: Add the paneer cubes / American cottage cheese / tofu cubes.&nbsp; &nbsp;	Dhaba Style Saag Paneer with Punjabi Tadka: Add the paneer cubes / American cottage cheese / tofu cubes.&nbsp; &nbsp;
Chicken fajitas: Using tongs place the pepper onion and chicken onto the griddle and cook for 6 to 8 minutes or until the chicken is golden and cooked through.	Chicken fajitas: Using tongs place the pepper onion and kidney beans onto the griddle and cook for 6 to 8 minutes or until the kidney beans is golden and cooked through.	Chicken fajitas: Using tongs place the pepper onion and apple juice onto the griddle and cook for 6 to 8 minutes or until the apple juice is golden and cooked through.
Wild garlic ravioli: Drain loosely add straight to the pan of saffron butter and toss well to coat.	Wild garlic ravioli: Drain loosely add straight to the pan of saffron  margerine and toss well to coat.	Wild garlic ravioli: Drain loosely add straight to the pan of saffron kidney bean and toss well to coat.
Mushroom Biryani: For the rice	Mushroom Biryani: For the cauliflower rice	Mushroom Biryani: For the veal
Easy spaghetti bolognese: Add a tablespoon of olive oil and once hot add the beef mince and a pinch of salt and pepper.	Easy spaghetti bolognese: Add a tablespoon of olive oil and once hot add the pork mince and a pinch of salt and pepper.	Easy spaghetti bolognese: Add a tablespoon of olive oil and once hot add the crème fraiche and a pinch of salt and pepper.
Perfect roast chicken dinner: Meanwhile remove the skins from the sausages and wrap in the bacon.	Perfect roast chicken dinner: Meanwhile remove the skins from the any vegan sausage and wrap in the bacon.	Perfect roast chicken dinner: Meanwhile remove the skins from the hummus and wrap in the bacon.
Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour dried chickpeas on top then sprinkle the curry powder evenly over the beans.	Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour dry green lentils  on top then sprinkle the curry powder evenly over the beans.	Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour pastrami on top then sprinkle the curry powder evenly over the beans.
My best Vanilla Cake - stays moist 4 days: Grease 2 x 20cm / 8” cake pans with butter then line with parchment / baking paper.	My best Vanilla Cake - stays moist 4 days: Grease 2 x 20cm / 8” cake pans with solid vegetable spread then line with parchment / baking paper.	My best Vanilla Cake - stays moist 4 days: Grease 2 x 20cm / 8” cake pans with pomfret then line with parchment / baking paper.
Kale tofu mushroom and quinoa protein bowl: Heat the vegetable oil in a large non-stick frying pan add the tofu and fry for 4-5 minutes until it turns slightly golden in colour.	Kale tofu mushroom and quinoa protein bowl: Heat the vegetable oil in a large non-stick frying pan add the halloumi and fry for 4-5 minutes until it turns slightly golden in colour.	Kale tofu mushroom and quinoa protein bowl: Heat the vegetable oil in a large non-stick frying pan add the cashew nut and fry for 4-5 minutes until it turns slightly golden in colour.
Moroccan Pastilla: Take a sheet of filo pastry and brush it with melted butter.	Moroccan Pastilla: Take a sheet of filo pastry and brush it with melted olive oil.	Moroccan Pastilla: Take a sheet of filo pastry and brush it with melted butter bean.
Pork Tenderloin with Honey Garlic Sauce: Add pork and sear until golden all over.	Pork Tenderloin with Honey Garlic Sauce: Add quorn  and sear until golden all over.	Pork Tenderloin with Honey Garlic Sauce: Add hazelnut oil and sear until golden all over.
The best spaghetti bolognese: Increase the heat to medium-high add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g quorn mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g oregano and cook stirring for 3-4 mins until the meat is browned all over.
Homemade Chicken Ramen: Ladle in chicken ramen over noodles.	Homemade Chicken Ramen: Ladle in chicken ramen over noodles.	Homemade Chicken Ramen: Ladle in chicken ramen over noodles.
